gene_id,omega,dN,dS,non_syn_subs,syn_subs,non_syn_sites,syn_sites,selection_type
inhA,4.366566716641684,0.03748125937031486,0.008583690987124457,25,2,666.9999999999998,233.00000000000017,positive
katG,0.0,0.008982035928143714,0.0,21,0,2337.9999999999995,776.0000000000017,purifying
fabG1,0.0,0.013121924548933845,0.0,8,0,609.6666666666666,200.33333333333346,purifying
rpoB,0.0,0.016640000000000096,0.0,52,0,3124.9999999999823,1141.0000000000043,purifying
gyrA,0.0,0.011688311688311668,0.0,21,0,1796.66666666667,639.3333333333336,purifying
gyrB,0.0,0.009078404401650617,0.0,11,0,1211.666666666667,456.3333333333322,purifying
etaC,0.0,0.0,0.0,0,0,406.6666666666669,172.3333333333334,purifying
embA,0.0,0.0,0.0,0,0,1095.3333333333317,437.6666666666655,purifying
embB,0.0,0.010882708585247895,0.0,12,0,1102.6666666666656,436.3333333333328,purifying
embC,0.0,0.0,0.016216216216216266,0,7,1188.3333333333333,431.6666666666653,purifying
pncA,0.0,0.08500914076782448,0.0,31,0,364.66666666666674,133.33333333333326,purifying
rpsA,0.0,0.0,0.0,0,0,656.0,235.00000000000023,purifying
rpsL,0.0,0.03019213174748397,0.0,11,0,364.33333333333354,124.66666666666654,purifying
rrs,0.0,0.010122699386503085,0.0,11,0,1086.6666666666647,365.33333333333286,purifying
rplC,0.0,0.0,0.0,0,0,1141.9999999999989,381.9999999999994,purifying
rplD,0.0,0.0,0.0,0,0,888.6666666666647,293.3333333333335,purifying
